   iter,         time,  residual(rho),   residual(v1),   residual(v2),    residual(E) 
    112,  10.75916096, 0.18645963E-04, 0.12921851E-02, 0.68159613E-03, 0.11050851E-02
    113,  10.85438168, 0.18041583E-04, 0.12518409E-02, 0.67415957E-03, 0.10705823E-02
    114,  10.94960238, 0.17422467E-04, 0.12127580E-02, 0.66675584E-03, 0.10348037E-02
    115,  11.04482306, 0.16777738E-04, 0.11749496E-02, 0.65929183E-03, 0.99822269E-03
    116,  11.14004371, 0.16137372E-04, 0.11385108E-02, 0.65170304E-03, 0.96238941E-03
    117,  11.23526435, 0.15508220E-04, 0.11032049E-02, 0.64386173E-03, 0.92660491E-03
    118,  11.33048495, 0.14879140E-04, 0.10692371E-02, 0.63576392E-03, 0.89096096E-03
    119,  11.42570554, 0.14244671E-04, 0.10363624E-02, 0.62730026E-03, 0.85457270E-03
    120,  11.52092610, 0.13653232E-04, 0.10047331E-02, 0.61857616E-03, 0.82107736E-03
    121,  11.61614665, 0.13072699E-04, 0.97405282E-03, 0.60950745E-03, 0.78762234E-03
    122,  11.71136717, 0.12544788E-04, 0.94440617E-03, 0.60019044E-03, 0.75662555E-03
    123,  11.80658767, 0.12078818E-04, 0.91570278E-03, 0.59067256E-03, 0.72812797E-03
    124,  11.90180816, 0.11637157E-04, 0.88785714E-03, 0.58092765E-03, 0.70106809E-03
    125,  11.99702862, 0.11233235E-04, 0.86080541E-03, 0.57098992E-03, 0.67555511E-03
    126,  12.09224907, 0.10853421E-04, 0.83471093E-03, 0.56094559E-03, 0.65120416E-03
    127,  12.18746950, 0.10496751E-04, 0.80936393E-03, 0.55076399E-03, 0.62897120E-03
    128,  12.28268992, 0.10178541E-04, 0.78483145E-03, 0.54050055E-03, 0.60876853E-03
    129,  12.37791033, 0.98686722E-05, 0.76107226E-03, 0.53014127E-03, 0.58907486E-03
